30-10-2024 20:03:49 GET /api/v1/file/tasks [object Object]
30-10-2024 20:05:40 GET /api/v1/file/tasks {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"063e251e-7e1f-4024-b4b7-29e60ea25846","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
30-10-2024 20:06:02 POST /api/v1/file/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"a8e6bb79-6648-48bd-959e-624f6ae6f07d","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"56"}
30-10-2024 20:06:10 GET /api/v1/file/tasks {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"76000a6e-7b0d-4bdb-b4ac-e378dfe23515","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
06-11-2024 14:06:21 GET / {"host":"localhost:3000","sec-fetch-dest":"document","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15","upgrade-insecure-requests":"1","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","sec-fetch-site":"none","sec-fetch-mode":"navigate","accept-language":"en-US,en;q=0.9","priority":"u=0, i","accept-encoding":"gzip, deflate","connection":"keep-alive"}
06-11-2024 14:06:21 GET /apple-touch-icon-precomposed.png {"host":"localhost:3000","accept":"*/*","accept-language":"en-US,en;q=0.9","connection":"keep-alive","accept-encoding":"gzip, deflate","user-agent":"Safari/20620.1.14.11.3 CFNetwork/1568.300.91 Darwin/24.2.0"}
06-11-2024 14:06:21 GET /apple-touch-icon.png {"host":"localhost:3000","accept":"*/*","accept-language":"en-US,en;q=0.9","connection":"keep-alive","accept-encoding":"gzip, deflate","user-agent":"Safari/20620.1.14.11.3 CFNetwork/1568.300.91 Darwin/24.2.0"}
06-11-2024 14:06:24 GET / {"host":"localhost:3000","sec-fetch-dest":"document","user-agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15","upgrade-insecure-requests":"1","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","sec-fetch-site":"none","sec-fetch-mode":"navigate","accept-language":"en-US,en;q=0.9","priority":"u=0, i","accept-encoding":"gzip, deflate","connection":"keep-alive"}
06-11-2024 20:40:35 GET /api/v1/tasks {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"c4dc3d6c-4d88-4625-a7f2-987daae98f8d","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
06-11-2024 21:10:26 GET /api/v1/tasks {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"458be688-92c2-4c81-9b2e-0e28ae7c998a","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
13-11-2024 20:28:59 GET /api/v1/tasks {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"d249ee2c-ea12-4341-bb40-6095ab858ea4","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
13-11-2024 20:34:49 GET /api/v1/tasks {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"73078850-0fc9-4ec1-b1b5-8aae1f3ff559","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
13-11-2024 20:50:52 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"17798f34-febf-4da8-a4b9-fec87219a735","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"31"}
13-11-2024 20:59:06 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"ccf01ff2-6705-481d-98f8-4dc233015164","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"61"}
13-11-2024 21:07:06 GET /api/v1/tasks/6 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"944496f4-d2e0-47d9-a133-a17771337985","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
13-11-2024 21:07:20 GET /api/v1/tasks/600 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"c25bde18-e77d-4f29-92ae-f411d2e74484","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
13-11-2024 21:08:52 GET /api/v1/tasks/600 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"4e8817de-b379-4973-a70e-b73e689b2d42","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
13-11-2024 21:09:02 GET /api/v1/tasks/6 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"6453a385-e4f4-4e1a-85cf-dc347a7ae697","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
13-11-2024 21:32:41 PUT /api/v1/tasks/6 {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"abeb1bd4-14bc-4b82-8315-1b124d69c971","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"38"}
13-11-2024 21:34:11 PUT /api/v1/tasks/6 {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"2b131c22-6239-4933-9213-481984f8090d","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"38"}
13-11-2024 21:36:01 PUT /api/v1/tasks/6 {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"e5524495-4de7-4cba-a05f-425a3019e47e","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"47"}
14-11-2024 11:38:47 DELETE /api/v1/tasks/6 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"a1786a0a-5a64-4dcf-9af0-ac342621044d","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:39:19 DELETE /api/v1/tasks/6 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"eeb86540-5421-497f-b8d4-ea0737dcccb6","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:40:46 DELETE /api/v1/tasks/6 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"b4ad94bf-3d0d-4fd0-b00c-131e891a0892","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:41:07 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"241bf998-198a-4f18-950a-5e71cac7951f","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"61"}
14-11-2024 11:41:18 DELETE /api/v1/tasks/7 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"d4b1e486-81f4-4fa3-986d-ab21b0bc0c74","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:42:04 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"ae298c2f-f1fc-45d4-9b7b-2db473c2f9d3","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"61"}
14-11-2024 11:42:09 DELETE /api/v1/tasks/8 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"5cf1064e-727a-4813-816d-61d1cc083981","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:42:33 DELETE /api/v1/tasks/8 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"02eff86f-a2f2-46d9-aae3-995157025091","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:43:01 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"5b2386ef-1866-4d66-b3a7-5aed1471d427","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"61"}
